regulatory_id,ingredient_id,canonical_name,jurisdiction,status,allowed_use_notes,requires_warning,review_status,citation_id,notes
reg_0011,ing_blue_1,Blue 1,US,listed_color_additive_for_human_food,FDA summary lists FD&C Blue No. 1 in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Use exact CFR section for formulation-specific restrictions
reg_0012,ing_red_3,Red 3,US,listed_color_additive_for_human_food,FDA summary lists FD&C Red No. 3 in color additives approved for use in human food; additional current policy changes may apply,yes,reviewed,cite_0016,Do not infer future ban timelines from this row alone
reg_0013,ing_titanium_dioxide,Titanium Dioxide,EU,needs_specific_eu_check,EU food additive status requires current row-level legal verification,yes,needs_source,cite_0008,Do not display as verified until official EU source is checked
reg_0014,ing_titanium_dioxide,Titanium Dioxide,US,listed_color_additive_for_human_food,FDA summary lists titanium dioxide in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Use exact CFR section for formulation-specific restrictions
reg_0015,ing_sodium_benzoate,Sodium Benzoate,US,needs_specific_additive_check,Preservative status requires row-level additive inventory verification,no,needs_source,cite_0004,Verify exact limits
reg_0016,ing_potassium_sorbate,Potassium Sorbate,US,needs_specific_additive_check,Preservative status requires row-level additive inventory verification,no,needs_source,cite_0004,Verify exact limits
reg_0017,ing_sodium_nitrite,Sodium Nitrite,US,needs_specific_additive_check,Curing-agent status and limits require row-level additive inventory verification,yes,needs_source,cite_0004,Needs careful cured meat context
reg_0018,ing_sulfur_dioxide,Sulfur Dioxide,US,specific_labeling_required,FDA states sulfiting agents must be declared on food labels at 10 ppm or more total sulfites,yes,reviewed,cite_0013,FDA food allergies page gives sulfite declaration threshold
reg_0019,ing_sodium_metabisulfite,Sodium Metabisulfite,Canada,priority_allergen_or_sensitivity,Health Canada lists sulphites as priority allergens or substances associated with allergic-type reactions,yes,reviewed,cite_0014,Specific salt still needs additive permission check if used as preservative
reg_0020,ing_bha,BHA,US,needs_specific_additive_check,Antioxidant preservative status requires row-level additive inventory verification,no,needs_source,cite_0004,Consumer concern needs balanced evidence
reg_0021,ing_bht,BHT,US,needs_specific_additive_check,Antioxidant preservative status requires row-level additive inventory verification,no,needs_source,cite_0004,Consumer concern needs balanced evidence
reg_0022,ing_tbhq,TBHQ,US,needs_specific_additive_check,Antioxidant preservative status requires row-level additive inventory verification,no,needs_source,cite_0004,ADI and limit context required
reg_0023,ing_carrageenan,Carrageenan,US,needs_specific_additive_check,Thickener or stabilizer status requires row-level additive inventory verification,no,needs_source,cite_0004,Separate food-grade carrageenan from degraded poligeenan
reg_0024,ing_carrageenan,Carrageenan,EU,needs_specific_eu_check,Food additive E407 context requires current EU-specific source,no,needs_source,cite_0008,Verify conditions
reg_0025,ing_msg,Monosodium Glutamate,US,needs_specific_additive_check,Flavor enhancer status requires row-level additive inventory verification,no,needs_source,cite_0004,Claims need balanced wording
reg_0026,ing_allulose,Allulose,US,different_metabolism_sugar,FDA says it has evaluated GRAS notices for D-allulose and has no questions under certain intended conditions of use,no,reviewed,cite_0017,Use exact GRAS notice details for specific products
reg_0027,ing_allulose,Allulose,Canada,uncertain_or_limited,Confirm current status before using in Canadian app logic,no,needs_source,cite_0006,Temporal status can change
reg_0028,ing_mustard_allergen,Mustard,Canada,priority_allergen,Health Canada lists mustard as a Canadian priority food allergen,yes,reviewed,cite_0014,Official Canada.ca common food allergens page
reg_0029,ing_sesame_allergen,Sesame,US,major_allergen,Sesame became the ninth major US food allergen effective January 1 2023,yes,reviewed,cite_0011,FDA FASTER Act summary on official page
reg_0030,ing_sesame_allergen,Sesame,Canada,priority_allergen,Health Canada lists sesame seeds as a Canadian priority food allergen,yes,reviewed,cite_0014,Official Canada.ca common food allergens page
reg_0031,ing_milk_allergen,Milk,US,major_allergen,FDA lists milk as one of the nine major food allergens,yes,reviewed,cite_0010,Official FDA food allergies page
reg_0032,ing_egg_allergen,Egg,US,major_allergen,FDA lists eggs as one of the nine major food allergens,yes,reviewed,cite_0010,Official FDA food allergies page
reg_0033,ing_fish_allergen,Fish,US,major_allergen,FDA lists fish as one of the nine major food allergens and requires species declaration,yes,reviewed,cite_0010,Official FDA food allergies page
reg_0034,ing_shellfish_allergen,Crustacean Shellfish,US,major_allergen,FDA lists Crustacean shellfish as one of the nine major food allergens and requires species declaration,yes,reviewed,cite_0010,Official FDA food allergies page
reg_0035,ing_tree_nut_allergen,Tree Nuts,US,major_allergen,FDA lists tree nuts as one of the nine major food allergens and requires the type of tree nut to be declared,yes,reviewed,cite_0010,Official FDA food allergies page
reg_0036,ing_peanut_allergen,Peanut,US,major_allergen,FDA lists peanuts as one of the nine major food allergens,yes,reviewed,cite_0010,Official FDA food allergies page
reg_0037,ing_wheat_allergen,Wheat,US,major_allergen,FDA lists wheat as one of the nine major food allergens,yes,reviewed,cite_0010,Official FDA food allergies page
reg_0038,ing_soy_allergen,Soy,US,major_allergen,FDA lists soybeans as one of the nine major food allergens,yes,reviewed,cite_0010,Official FDA food allergies page
reg_0039,ing_milk_allergen,Milk,Canada,priority_allergen,Health Canada lists milk as a priority food allergen,yes,reviewed,cite_0014,Official Canada.ca common food allergens page
reg_0040,ing_egg_allergen,Egg,Canada,priority_allergen,Health Canada lists eggs as a priority food allergen,yes,reviewed,cite_0014,Official Canada.ca common food allergens page
reg_0041,ing_fish_allergen,Fish,Canada,priority_allergen,Health Canada lists fish as a priority food allergen,yes,reviewed,cite_0014,Official Canada.ca common food allergens page
reg_0042,ing_shellfish_allergen,Crustaceans and Molluscs,Canada,priority_allergen,Health Canada lists crustaceans and molluscs as priority food allergens,yes,reviewed,cite_0014,Official Canada.ca common food allergens page
reg_0043,ing_peanut_allergen,Peanut,Canada,priority_allergen,Health Canada lists peanuts as a priority food allergen,yes,reviewed,cite_0014,Official Canada.ca common food allergens page
reg_0044,ing_tree_nut_allergen,Tree Nuts,Canada,priority_allergen,Health Canada lists tree nuts as priority food allergens,yes,reviewed,cite_0014,Official Canada.ca common food allergens page
reg_0045,ing_soy_allergen,Soy,Canada,priority_allergen,Health Canada lists soy as a priority food allergen,yes,reviewed,cite_0014,Official Canada.ca common food allergens page
reg_0046,ing_wheat_allergen,Wheat,Canada,priority_allergen,Health Canada lists wheat and triticale as priority food allergens,yes,reviewed,cite_0014,Official Canada.ca common food allergens page
reg_0047,ing_sulfites_allergen,Sulfites,Canada,priority_allergen_or_sensitivity,Health Canada lists sulphites as priority allergens or substances associated with allergic-type reactions,yes,reviewed,cite_0014,Official Canada.ca common food allergens page
reg_0048,ing_blue_2,Blue 2,US,listed_color_additive_for_human_food,FDA summary lists FD&C Blue No. 2 in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Use exact CFR section for formulation-specific restrictions
reg_0049,ing_green_3,Green 3,US,listed_color_additive_for_human_food,FDA summary lists FD&C Green No. 3 in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Use exact CFR section for formulation-specific restrictions
reg_0050,ing_annatto,Annatto,US,listed_color_additive_for_human_food,FDA summary lists annatto extract in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Use exact CFR section for formulation-specific restrictions
reg_0051,ing_caramel_color,Caramel Color,US,listed_color_additive_for_human_food,FDA summary lists caramel in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Use exact CFR section for formulation-specific restrictions
reg_0052,ing_beta_carotene,Beta-Carotene,US,listed_color_additive_for_human_food,FDA summary lists beta-carotene in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Use exact CFR section for formulation-specific restrictions
reg_0053,ing_carmine,Carmine,US,listed_color_additive_for_human_food,FDA summary lists carmine in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Cochineal/carmine may need allergen-like display rules in later pass
reg_0054,ing_spirulina_extract,Spirulina Extract,US,listed_color_additive_for_human_food,FDA summary lists spirulina extract in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Use exact CFR section for formulation-specific restrictions
reg_0055,ing_turmeric_color,Turmeric Color,US,listed_color_additive_for_human_food,FDA summary lists turmeric and turmeric oleoresin in color additives approved for use in human food; conditions of use remain in the CFR,no,reviewed,cite_0016,Use exact CFR section for formulation-specific restrictions
reg_0056,ing_neotame,Neotame,US,authorized_sweetener,FDA says neotame is approved for use in food as a sweetener,no,reviewed,cite_0017,Use exact regulation for formulation-specific details
reg_0057,ing_advantame,Advantame,US,authorized_sweetener,FDA says advantame is approved for use in food as a sweetener,no,reviewed,cite_0017,Use exact regulation for formulation-specific details
reg_0058,ing_saccharin,Saccharin,US,authorized_sweetener,FDA says saccharin is approved for use under certain conditions,no,reviewed,cite_0017,Use exact regulation for formulation-specific details
reg_0059,ing_erythritol,Erythritol,US,sugar_alcohol,FDA permits sugar alcohols as sugar substitutes and gives erythritol as an example,no,reviewed,cite_0017,Does not replace product-specific ingredient review
reg_0060,ing_xylitol,Xylitol,US,sugar_alcohol,FDA permits sugar alcohols as sugar substitutes and gives xylitol as an example,no,reviewed,cite_0017,Pet-safety warning belongs in separate non-FDA veterinary source pass
reg_0061,ing_sorbitol,Sorbitol,US,sugar_alcohol,FDA permits sugar alcohols as sugar substitutes and gives sorbitol as an example,no,reviewed,cite_0017,Use exact regulation for formulation-specific details
reg_0062,ing_mannitol,Mannitol,US,sugar_alcohol,FDA permits sugar alcohols as sugar substitutes and gives mannitol as an example,no,reviewed,cite_0017,Use exact regulation for formulation-specific details
reg_0063,ing_maltitol,Maltitol,US,sugar_alcohol,FDA permits sugar alcohols as sugar substitutes and gives maltitol as an example,no,reviewed,cite_0017,Use exact regulation for formulation-specific details
