history_id,ingredient_id,canonical_name,history_estimate,confidence,region_or_origin,notes,review_status
hist_0041,ing_guar_gum,Guar Gum,modern isolated ancient source,medium,South Asia and global,Guar plant is older; isolated gum use is modern,needs_source
hist_0042,ing_carrageenan,Carrageenan,modern isolated ancient seaweed use,medium,coastal regions,Seaweed food use is old; refined carrageenan is modern,needs_source
hist_0043,ing_aspartame,Aspartame,modern,high,industrial food systems,Modern high-intensity sweetener,needs_source
hist_0044,ing_sucralose,Sucralose,modern,high,industrial food systems,Modern high-intensity sweetener,needs_source
hist_0045,ing_stevia,Steviol Glycosides,modern extract older plant use,medium,South America and global,Stevia plant use predates modern purified glycosides,needs_source
hist_0046,ing_allulose,Allulose,modern,high,industrial food systems,Rare sugar recently commercialized in foods,needs_source
hist_0047,ing_red_40,Red 40,modern,high,industrial food systems,Synthetic color additive,needs_source
hist_0048,ing_yellow_5,Yellow 5,modern,high,industrial food systems,Synthetic color additive,needs_source
hist_0049,ing_annatto,Annatto,ancient Americas,medium,Americas,Natural color and seasoning from achiote seeds,draft
hist_0050,ing_beta_carotene,Beta-Carotene,ancient source modern isolated,medium,plant foods globally,Consumed naturally in plants long before isolation,draft
